,loss,accuracy,val_loss,val_accuracy
0,0.32026007771492004,0.8859166502952576,0.3629973232746124,0.8700000047683716
1,0.3133041560649872,0.8870208263397217,0.3507962226867676,0.8741666674613953
2,0.30656465888023376,0.890500009059906,0.3385062515735626,0.8787500262260437
3,0.2998170554637909,0.8925208449363708,0.33649247884750366,0.8790000081062317
4,0.29408788681030273,0.8940208554267883,0.33935797214508057,0.8774166703224182
5,0.28778907656669617,0.8971874713897705,0.3320865333080292,0.8796666860580444
6,0.28122255206108093,0.8985000252723694,0.33127933740615845,0.8811666369438171
7,0.2767080068588257,0.9011041522026062,0.3425478935241699,0.8772500157356262
8,0.27098387479782104,0.903166651725769,0.3427734076976776,0.875249981880188
9,0.26670417189598083,0.9038958549499512,0.32335400581359863,0.8843333125114441
